TIME,CH2
-5,0
-5,0.04
-5,0.04
-5,0.02
-5,0
-5,0.02
-4.99,0
-4.99,0
-4.99,0.04
-4.99,0.04
-4.99,0
-4.99,0
-4.99,0
-4.99,0
-4.99,0
-4.99,0.02
-4.98,0
-4.98,0
-4.98,0
-4.98,0.02
-4.98,0.02
-4.98,0
-4.98,0
-4.98,0
-4.98,0
-4.98,0
-4.97,0.02
-4.97,0.04
-4.97,0
-4.97,0
-4.97,0.02
-4.97,0
-4.97,0.02
-4.97,0
-4.97,0
-4.97,0.04
-4.96,0.02
-4.96,0
-4.96,0
-4.96,0.04
-4.96,0.02
-4.96,0
-4.96,0.02
-4.96,0
-4.96,0.04
-4.96,0
-4.95,0.02
-4.95,0.02
-4.95,0.02
-4.95,0.02
-4.95,0.02
-4.95,0.02
-4.95,0
-4.95,0
-4.95,0.04
-4.95,0.02
-4.94,0.02
-4.94,0
-4.94,0
-4.94,0
-4.94,0.02
-4.94,0.02
-4.94,0.02
-4.94,0
-4.94,0
-4.94,0.02
-4.93,0.02
-4.93,-0.02
-4.93,0
-4.93,0.02
-4.93,0.04
-4.93,0
-4.93,0.02
-4.93,0
-4.93,0
-4.93,0.04
-4.92,0
-4.92,0.02
-4.92,0.02
-4.92,0
-4.92,0.02
-4.92,0
-4.92,0.04
-4.92,0.02
-4.92,0
-4.92,0
-4.91,0
-4.91,0.02
-4.91,0.02
-4.91,0.04
-4.91,0
-4.91,0.02
-4.91,0.04
-4.91,0
-4.91,0
-4.91,0
-4.9,0.02
-4.9,0.02
-4.9,0.02
-4.9,0.02
-4.9,0.02
-4.9,0.04
-4.9,0
-4.9,0.02
-4.9,0
-4.9,0.02
-4.89,0
-4.89,0.02
-4.89,0.04
-4.89,0.02
-4.89,0.02
-4.89,0
-4.89,0.04
-4.89,0
-4.89,0.04
-4.89,0
-4.88,0
-4.88,0
-4.88,0.04
-4.88,0
-4.88,0.02
-4.88,0.02
-4.88,0
-4.88,0.02
-4.88,0
-4.88,0.02
-4.87,0
-4.87,0.04
-4.87,0.04
-4.87,0.04
-4.87,0
-4.87,0
-4.87,0.02
-4.87,0
-4.87,0
-4.87,0.04
-4.86,0
-4.86,0
-4.86,0.04
-4.86,0.02
